timestamp,json_path,year,full_article_id,block_id,named_brands_and_lifecycles,pricing,distribution_channels,location_manufacturing,location_purchase,type,symptoms,direction_of_use,health_warnings,order_by_post,raw_output
2026-02-09T21:07:33.830Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1867/faro_1867/1867-04-08_p1_sn84028645_0028077473A_1867040801_0653.json,1867,1,0,Drops (Female Remedy); written signature of JOHN L. LYON required for genuine; no other lifecycle details,Not present/unclear,Sold by druggists everywhere; consultation personally or by mail (enclosing stamp); general agents (E. G. CLARK & CO.) for U.S. and Canadas,"Prepared by Dr. John L. Lyon, 195 Chapel Street, New Haven, Conn.","Druggists everywhere; New Haven, Conn. (via Dr. John L. Lyon)",clear advertisement,Female complaints; obstructions and suppressions of nature; female weaknesses; private diseases,Explicit directions folded around each bottle (when they may be used; when/why they should not be used),Directions explain when/why they should not be used; warns of effects contrary to nature's laws if used improperly,Yes (consulted by mail; enclosing stamp),"{
  ""named_brands_and_lifecycles"": ""Drops (Female Remedy); written signature of JOHN L. LYON required for genuine; no other lifecycle details"",
  ""pricing"": ""Not present/unclear"",
  ""distribution_channels"": ""Sold by druggists everywhere; consultation personally or by mail (enclosing stamp); general agents (E. G. CLARK & CO.) for U.S. and Canadas"",
  ""location_manufacturing"": ""Prepared by Dr. John L. Lyon, 195 Chapel Street, New Haven, Conn."",
  ""location_purchase"": ""Druggists everywhere; New Haven, Conn. (via Dr. John L. Lyon)"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Female complaints; obstructions and suppressions of nature; female weaknesses; private diseases"",
  ""direction_of_use"": ""Explicit directions folded around each bottle (when they may be used; when/why they should not be used)"",
  ""health_warnings"": ""Directions explain when/why they should not be used; warns of effects contrary to nature's laws if used improperly"",
  ""order_by_post"": ""Yes (consulted by mail; enclosing stamp)""
}"
2026-02-09T21:09:50.929Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1899/faro_1899/1899-03-02_p4_sn84026912_00294558640_1899030201_0530.json,1899,32,31,Simmons' Squaw Vine Wine or Tablets,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,clear advertisement,Miscarriage (prevention); builds up/fortifies the system,Not present/unclear,Not present/unclear,Not present/unclear,"{
  ""named_brands_and_lifecycles"": ""Simmons' Squaw Vine Wine or Tablets"",
  ""pricing"": ""Not present/unclear"",
  ""distribution_channels"": ""Not present/unclear"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""Not present/unclear"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Miscarriage (prevention); builds up/fortifies the system"",
  ""direction_of_use"": ""Not present/unclear"",
  ""health_warnings"": ""Not present/unclear"",
  ""order_by_post"": ""Not present/unclear""
}"
2026-02-09T21:21:21.804Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1843/faro_1843/1843-01-19_p3_sn83030313_00271743178_1843011901_0092.json,1843,44,43,"Portuguese Female Pills (""far famed and celebrated"")",Not present/unclear,Not present/unclear,Portugal,Not present/unclear,clear advertisement,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,"{
  ""named_brands_and_lifecycles"": ""Portuguese Female Pills (\""far famed and celebrated\"")"",
  ""pricing"": ""Not present/unclear"",
  ""distribution_channels"": ""Not present/unclear"",
  ""location_manufacturing"": ""Portugal"",
  ""location_purchase"": ""Not present/unclear"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Not present/unclear"",
  ""direction_of_use"": ""Not present/unclear"",
  ""health_warnings"": ""Not present/unclear"",
  ""order_by_post"": ""Not present/unclear""
}"
2026-02-09T22:08:07.536Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1855/faro_1855/1855-12-03_p4_sn85042002_00415660996_1855120301_1311.json,1855,1,0,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,Not present/unclear,"{
  ""named_brands_and_lifecycles"": ""Dr. Rose's celebrated Family Medicines (result of thirty years practice in Philadelphia); Dr. Rose's Pain Curer; Dr. Rose's Cough Syrup/Expectorant; Dr. Rose's Whooping Cough Syrup; Dr. Rose's Croup Syrup; Dr. Rose's Nervous Cordial; Dr. Rose's Butcher Compound; Dr. Rose's Golden Pills; Dr. Rose's Female Pills; Dr. Rose's Sarsaparilla Compound; Dr. Rose's Dyspeptic and Liver Compound; Dr. Rose's Ambitious/Railroad Pills"",
  ""pricing"": ""Pain Curer bottles 19, 25, and 50 cents; Cough Syrup bottles 50 cents and $1; Whooping Cough Syrup 50 cents; Croup Syrup 15 cents/bottle; Nervous Cordial 80 cents/bottle; Butcher Compound 80 cents/bottle; Female Pills 25 cents/box; Sarsaparilla Compound quart bottles $1, small bottles 50 cents; Dyspeptic and Liver Compound 50 cents/bottle; Ambitious/Railroad Pills 12.5 and 25 cents/box"",
  ""distribution_channels"": ""Sold by listed dealers/druggists (D. B. Dyson; Stott & Co.; W. H. Gilman; J. W. Marin; Patterson & Marin; D. B. Clark; H. H. McPherson; W. H. Evans; Kidwell & Lawrence; J. B. Moore; J. L. Kidwell) and by all dealers in Alexandria, Virginia"",
  ""location_manufacturing"": ""Philadelphia (implied by 'thirty years practice in Philadelphia')"",
  ""location_purchase"": ""Washington, D.C.; Georgetown; Alexandria, Virginia"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Pain (external/internal), pains in sides/limbs/back, chilblains, ague/fever and ague, lumps in breasts, corns, bruises, sprains, toothache, stomach pain, sudden colds, weak stomach and bowels; cough (from cold), consumptive cough; whooping cough; croup; nervousness/nervous affections; kidney and bladder complaints; dropsy; female complaints including falling of the womb, weakness, general"
2026-02-10T07:53:21.337Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1864/faro_1864/1864-07-06_p1_sn85025182_00212477898_1864070601_0010.json,1864,10,9,"Bell's Specific Pills (original and only genuine); Dr. Bell's Treatise (""Fiftieth Thousand""); Dr. Harvey's Female Pills",Not present/unclear,"Sent by mail, securely sealed and confidentially; consulting physician (J. Bryan, M.D.) will send treatise free (two stamps for postage)",Not present/unclear,"No. 76 Cedar Street, New York",clear advertisement,Spermatorrhea/seminal weakness; urethral and vaginal discharges; the whites; nightly/involuntary emissions; incontinence; genital debility/irritability; impotence; weakness/loss of power; nervous debility; gonorrhea; gleet; strictures; bladder and kidney diseases; (ladies) menstrual obstruction/stoppage; prolapsus uteri; spinal affections,Relief expected by taking a single box,Claims: does not nauseate; no change of diet required; will not interfere with business; can be used without detection; composition said to be entirely vegetable and harmless,Yes—sent by mail on receipt of money; treatise sent free in sealed envelope (two stamps for postage),"{
  ""named_brands_and_lifecycles"": ""Bell's Specific Pills (original and only genuine); Dr. Bell's Treatise (\""Fiftieth Thousand\""); Dr. Harvey's Female Pills"",
  ""pricing"": ""Not present/unclear"",
  ""distribution_channels"": ""Sent by mail, securely sealed and confidentially; consulting physician (J. Bryan, M.D.) will send treatise free (two stamps for postage)"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""No. 76 Cedar Street, New York"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Spermatorrhea/seminal weakness; urethral and vaginal discharges; the whites; nightly/involuntary emissions; incontinence; genital debility/irritability; impotence; weakness/loss of power; nervous debility; gonorrhea; gleet; strictures; bladder and kidney diseases; (ladies) menstrual obstruction/stoppage; prolapsus uteri; spinal affections"",
  ""direction_of_use"": ""Relief expected by taking a single box"",
  ""health_warnings"": ""Claims: does not nauseate; no change of diet required; will not interfere with business; can be used without detection; composition said to be entirely vegetable and harmless"",
  ""order_by_post"": ""Yes—sent by mail on receipt of money; treatise sent free in sealed envelope (two stamps for postage)""
}"
2026-02-10T07:54:13.501Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1866/faro_1866/1866-01-19_p1_sn84022046_00279554231_1866011901_0070.json,1866,25,24,"Dr. Perrault; Dr. Briff’s Female Monthly Pills (""reputation as a female remedy""; ""latest and safest remedies"")",Five Dollars for Dr. Briff’s Female Monthly Pills,"Sent by mail or express; patients at a distance treated at home by letter; in-person office consultation; ""secure from curiosity"" discreet delivery implied",Not present/unclear,"Dr. J. Perrault office, corner of Sacramento and Montgomery Streets, rooms 10 and 11; or Box 973, Post Office, San Francisco",clear advertisement,Seminal emissions; impotency; gravel; diseases of the bladder and kidneys; venereal diseases; pains in the bones; rheumatism; effects of mercurial poisoning; syphilis; gonorrhoea; strictures; stone in the bladder; enlargement of the testicles; ulcerated throat; cutaneous eruptions; ulcers; abscess; diseases from impurities of the blood; suppression and irregularities and other obstructions (female monthly issues),For pills: sent upon receipt of five dollars; otherwise consult/submit urine for examination and write stating the case and habits of living/occupation,"Claims ""No poisons or harsh medicines""; otherwise not present/unclear",Yes—pills sent by mail/express upon payment; treatment by correspondence/letter and address to post office box,"{
  ""named_brands_and_lifecycles"": ""Dr. Perrault; Dr. Briff’s Female Monthly Pills (\""reputation as a female remedy\""; \""latest and safest remedies\"")"",
  ""pricing"": ""Five Dollars for Dr. Briff’s Female Monthly Pills"",
  ""distribution_channels"": ""Sent by mail or express; patients at a distance treated at home by letter; in-person office consultation; \""secure from curiosity\"" discreet delivery implied"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""Dr. J. Perrault office, corner of Sacramento and Montgomery Streets, rooms 10 and 11; or Box 973, Post Office, San Francisco"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Seminal emissions; impotency; gravel; diseases of the bladder and kidneys; venereal diseases; pains in the bones; rheumatism; effects of mercurial poisoning; syphilis; gonorrhoea; strictures; stone in the bladder; enlargement of the testicles; ulcerated throat; cutaneous eruptions; ulcers; abscess; diseases from impurities of the blood; suppression and irregularities and other obstructions (female monthly issues)"",
  ""direction_of_use"": ""For pills: sent upon receipt of five dollars; otherwise consult/submit urine for examination and write stating the case and habits of living/occupation"",
  ""health_warnings"": ""Claims \""No poisons or harsh medicines\""; otherwise not present/unclear"",
  ""order_by_post"": ""Yes—pills sent by mail/express upon payment; treatment by correspondence/letter and address to post office box""
}"
2026-02-10T09:37:32.672Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1856/faro_1856/1856-10-09_p2_sn83021205_00517171931_1856100901_0818.json,1856,70,69,"CLARKE'S FEMALE PILLS; ""The Great English Remedy""; bears Government stamp of Great Britain (anti-counterfeit)","Each bottle, price One Dollar; $1 and six postage stamps enclosed","For sale by druggists/dealers generally; authorized agents; sole agents for U.S. and Canada (J. Q. Baldwin & Co., Rochester, N.Y.); general agents (Hulie Moses, Auburn, N.Y.); sent by mail",Great Britain (Government stamp of Great Britain mentioned),"Rochester, N.Y.; Auburn, N.Y.; ""for sale by one druggist in every city"" (unspecified)",clear advertisement,Painful and dangerous disorders to which the female system is subject; moderates excess; brings on the monthly period with regularity,Not present/unclear,Should not be taken by females pregnant during the first three months (risk of miscarriage); otherwise stated as safe,Yes,"{
  ""named_brands_and_lifecycles"": ""CLARKE'S FEMALE PILLS; \""The Great English Remedy\""; bears Government stamp of Great Britain (anti-counterfeit)"",
  ""pricing"": ""Each bottle, price One Dollar; $1 and six postage stamps enclosed"",
  ""distribution_channels"": ""For sale by druggists/dealers generally; authorized agents; sole agents for U.S. and Canada (J. Q. Baldwin & Co., Rochester, N.Y.); general agents (Hulie Moses, Auburn, N.Y.); sent by mail"",
  ""location_manufacturing"": ""Great Britain (Government stamp of Great Britain mentioned)"",
  ""location_purchase"": ""Rochester, N.Y.; Auburn, N.Y.; \""for sale by one druggist in every city\"" (unspecified)"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Painful and dangerous disorders to which the female system is subject; moderates excess; brings on the monthly period with regularity"",
  ""direction_of_use"": ""Not present/unclear"",
  ""health_warnings"": ""Should not be taken by females pregnant during the first three months (risk of miscarriage); otherwise stated as safe"",
  ""order_by_post"": ""Yes""
}"
2026-02-10T10:00:07.730Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1886/faro_1886/1886-10-13_p4_sn84027718_00271762689_1886101301_0189.json,1886,64,63,Dr. Xximer's FEMALE REMEDY,Price $1.00; 6 bottles $5.00,Not present/unclear,Not present/unclear,Not present/unclear,clear advertisement,Dull tired looks and feelings; unspecified 'all conditions',Not present/unclear,Not present/unclear,Not present/unclear,"{
  ""named_brands_and_lifecycles"": ""Dr. Xximer's FEMALE REMEDY"",
  ""pricing"": ""Price $1.00; 6 bottles $5.00"",
  ""distribution_channels"": ""Not present/unclear"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""Not present/unclear"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Dull tired looks and feelings; unspecified 'all conditions'"",
  ""direction_of_use"": ""Not present/unclear"",
  ""health_warnings"": ""Not present/unclear"",
  ""order_by_post"": ""Not present/unclear""
}"
2026-02-10T10:06:27.666Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1872/faro_1872/1872-03-30_p2_sn92053941_00295873590_1872033001_0624.json,1872,27,26,Sir James Clarke's Female Pills; Genuine vs counterfeited/contaminated; Sole Proprietor Job Moses,One Dollar for a bottle containing Fifty Pills,Druggists; direct from Sole Proprietor (sealed/discreet); circulars sent free to those writing for them,Not present/unclear,New York (81 Cortlandt Street) via Sole Proprietor; also via druggists (location not specified),clear advertisement,Painful and dangerous diseases to which the female constitution is subject; obstructions; irregular monthly period; nervous and spinal affections; pains in back and limbs; fatigue on slight exertion; palpitation of the heart; hysteria; whites,Circulars around each package give full directions and advice,Counterfeits sold by dishonest druggists; seek the genuine,"Yes (One Dollar enclosed; bottle sent by return mail, securely sealed)","{
  ""named_brands_and_lifecycles"": ""Sir James Clarke's Female Pills; Genuine vs counterfeited/contaminated; Sole Proprietor Job Moses"",
  ""pricing"": ""One Dollar for a bottle containing Fifty Pills"",
  ""distribution_channels"": ""Druggists; direct from Sole Proprietor (sealed/discreet); circulars sent free to those writing for them"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""New York (81 Cortlandt Street) via Sole Proprietor; also via druggists (location not specified)"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Painful and dangerous diseases to which the female constitution is subject; obstructions; irregular monthly period; nervous and spinal affections; pains in back and limbs; fatigue on slight exertion; palpitation of the heart; hysteria; whites"",
  ""direction_of_use"": ""Circulars around each package give full directions and advice"",
  ""health_warnings"": ""Counterfeits sold by dishonest druggists; seek the genuine"",
  ""order_by_post"": ""Yes (One Dollar enclosed; bottle sent by return mail, securely sealed)""
}"
2026-02-10T10:21:53.727Z,/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1865/faro_1865/1865-06-13_p4_sn85026002_00280775071_1865061301_0144.json,1865,6,5,"Cincinnati Venereal Hospital (Established in 1850); Dr. Bonaparte's ""Private Guide to Health""; Dr. Bonaparte's French Patent Male Safe (patent); Madame Lozier's Female Monthly Pills","Private Guide to Health: 25 cents (sent by mail); French Patent Male Safe: $1 per single, $1 per half dozen, (price per dozen unclear), sent by mail; Madame Lozier's Female Monthly Pills: price per box unclear, sent to any address by mail",Call or address Drs. Bonaparte & Reynolds; sent by mail; will answer (letters) only if they contain remittance and a postage stamp,Not present/unclear,"No. 1872 Sycamore Street, between Fifth and Sixth, east side, Cincinnati, Ohio",clear advertisement,Private diseases; gonorrhea; gleet; strictures; nocturnal emissions; seminal weakness; syphilis (primary and secondary); skin diseases; impotency; suppressions (female); venereal diseases,Not present/unclear,"Ladies should not use Madame Lozier's Female Monthly Pills during pregnancy, as they will produce miscarriage",Yes,"{
  ""named_brands_and_lifecycles"": ""Cincinnati Venereal Hospital (Established in 1850); Dr. Bonaparte's \""Private Guide to Health\""; Dr. Bonaparte's French Patent Male Safe (patent); Madame Lozier's Female Monthly Pills"",
  ""pricing"": ""Private Guide to Health: 25 cents (sent by mail); French Patent Male Safe: $1 per single, $1 per half dozen, (price per dozen unclear), sent by mail; Madame Lozier's Female Monthly Pills: price per box unclear, sent to any address by mail"",
  ""distribution_channels"": ""Call or address Drs. Bonaparte & Reynolds; sent by mail; will answer (letters) only if they contain remittance and a postage stamp"",
  ""location_manufacturing"": ""Not present/unclear"",
  ""location_purchase"": ""No. 1872 Sycamore Street, between Fifth and Sixth, east side, Cincinnati, Ohio"",
  ""type"": ""clear advertisement"",
  ""symptoms"": ""Private diseases; gonorrhea; gleet; strictures; nocturnal emissions; seminal weakness; syphilis (primary and secondary); skin diseases; impotency; suppressions (female); venereal diseases"",
  ""direction_of_use"": ""Not present/unclear"",
  ""health_warnings"": ""Ladies should not use Madame Lozier's Female Monthly Pills during pregnancy, as they will produce miscarriage"",
  ""order_by_post"": ""Yes""
}"
