json_path,year,full_article_id,block_id,matched_patterns,headline,article,Gemini_classification
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1842/faro_1842/1842-09-25_p4_sn83030313_00271743166_1842092501_0363.json,1842,4,3,\bm[i1]scarriage\b;\b(?:m|rn)[i1]scarr[iIl1]age\b,"I PORTUGUESE M


Z E M A l. e p IL, s.","=, INVENTED AND PRErtHfpBv
""a; pE ByUDELOQlk, Nj D- LisbON. PORTUGAL


NE Scientific combination cr ingredients OF which these
FILLS composed have made them aud adu
ration Of che world They known III Europe 70 be


the only preparation discovered that sriahy
certain IN producing the monthly Their certainty, al
gases being such thai thew be used darns
Tor though always mid, sale and healthy they
produce miscarriage IL used during thai period.


The objections translated into Engih .si cn,cotcd
round with the sc 81 Che lmror'ef stamped Each Dor
taBs the signature of NJ. de Boudeclue, si the English di
ftctions have the Of DR. f. NELvEA endorsed
agent for the cciineiif Of Amriica.


They be transmitted by o United
States i.euen directed TO DR.. ~ Neissio l's ~, New
York will with immediate All
be paid Sold b. appointment Cherry, Caa
Price s. Half boxes g. No half boxes by
mail 81 m dNW",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1843/faro_1843/1843-01-19_p3_sn83030313_00271743178_1843011901_0092.json,1843,44,43,\bfemale[ -]?(pills?|safe(?:ty)?|remed(?:y|ies))\b;\bfemale[ -]?p[i1]lls\b,,"FRANCIS PATENT LIFE BOAT.


0rsICE No WALL. STREET. uaisr


ROCKWELLS PATENT DECK LIGHTS
NJ A'ioN hooS sfR HhAEITRANch IN sA A FL!
Mh sa RE 81 nS viii attend private
NO Delaney street uear The Bowev. No 80 Cosby g.
jyl7 liner


NEW YORK SACRED MUSIC SOCIETY.


THE Second Puhc Performance for the Season will take


place a. the Tabernacle Monday evening asd January
Part The The song of the Bell"" by A Romberx first time in
Fart The seasons by Haydn which will be repeated by
saessrp.ioa for the S. which will en,ise III.
70 three tickets Of each public Pe,for


sp taisv sses s.h i . NJ: Frank
,,,ur :, MILITARY AND CIVIC BALL.


he xeo 9s ,d BT,ss 1snd will give their Annual Ball


sI Gsas SstHas &: h: o.


S.sss;s: S SSss; SsIs pieces; "". Le,A..


Go%paS e S cao LGr s, q The Third


po e on S,. Of Centre and
Members Of Military Companies viii please to appear
IN UNIFORM: jyiooa3sr
81, sAx W. .'STs and good will Of cid b
Sens des!;Sl. Of city iOt the above
proprietor wishes dispose Of above place in
II A '' TGN ;s5'isq.f t%S9S5fT 10, Bower,
A MEXICAN LAND AMI. LOAN OFFlCE-wiln.m
Of h Rss SSse thirty years sIDsepcs
; :s x: sss
patronage he Ia. heretofore enjoyed respectfully solicit. The
Of A s':y
s: Of
ESee s.e and for The hiring and e'ios Of Stores
G so I'm s he
seS s s"" or will
shi ht, i'd apply any


ss Ss's oss % tPd ).
and every honorable eIs!iou made 70 dispose Of .s AM.
s be- the y 1 be :Sd sT will


lie viii attend ssctiny anes on property OBJ
tanning and osnug bond mortgage or other
sas f"" sss pf h,ys care rseevs ample
lemen Of the legal profession Of established character
Holders Of vacant grcurd that requires improving will find IL


%Se 70 Sp h% his =, o.
ansnanee ws Oh n. The % and h; long
hsm erected on the reasonable expense
He will take charge Of real estate intended for public
as ms knowledge from experience getting up sass
will prepare the 70 s se ss, n
distributed aud superintendent and direct the and
FOR The last three four years has been frequently sacrificed


OF S s%s sAs AGENT !"" is s.
Of their real estate, may depend on having faithfully and
paid over Person. Wishing % hire or puesa. popev os
ss .:i OF
purchase real estate BY sendn description oil the properly
All letter., for the purchase s or exchange of re. s..
f. f S2ns R n %a and e ss
b Ceufrict and other papers prepared at this odice.
ia t.imissr


TIC. THE Lovers ,oF SUPERIOR Black TEA


Howquas M,tufe-This extremely delicious unparsl-
eled Tea so hshy ceenato IN Chna and Europe, i'm
Tor safe at the Canton Tea Companv General
rca Establishment. i2I Chatham ST. New Yorh-n Chimes
aichaRes tnre ,"" cents ana 81 jl2 imsr


PORTUGUESE FEMALE PILLS.


THESE far famed and celebrated Pills. from Portugal arr
wepecri'e 20 be obtained this country See advertise
,ent on the last column. fourth mage, ma
II .lx.t.t .-.-saLa..",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1844/faro_1844/1844-01-04_p4_sn83030313_00271743191_1844010401_0029.json,1844,25,24,\babort[i1][o0]n\b,"WONDERFUL REMEDY
VIRREY'S TINCTURE AND LOTION OF lNvIGO","


SUPPLY Of these invaluable extraordinary remedie.
has been received direct rom Doctor Adrian Virey Of
Lyons by his exclusive American agents. De Launey Grey
81 New York Nothing equal them has been discovered
for removing impotency huor abus, affections and
nvgorating the and the decayed energies of
certain paris fact that be proved by
mlnutes for while all other medicines recommended for
same diseases admitted by their slow
and Lotion
make their effect et few they
OIL Indeed their quick and wonderful action SUCH cold
ness or imbecllitv cannot The
der their dominion for half hour any
married female 10 use them aud remain
they Immediately correct the Inactivity 9foean organs which
ness They are also unvallsd remedies in ncpen


on dyspepsia pltaon OF the headache gret
and affections Of The kidneys. and in all diseases produced by
i've cure The Tncare nken internally and pleasant
seIaratey With great benefit but effective when used
NJ BPersons living distance have these medicines
with full prred directions for converting them Tac
and Lotion Price 50 for powder or So for both
when both used their effect wonderful removing


REMITTANCE must be post paid. and directed De Launey
information Of delicate nteres ting nature which can,
not be inserted In pablo boil
tie aud powder These medicines should preg
lant women for their exciting would be liable pro
duce abortion


Sold by special appointment Of


iDE LAUNEY & GREY


d29ln~t AT - Dnau~ ct. Nov York.",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1854/faro_1854/1854-02-11_p1_sn82014869_0027955727A_1854021101_0060.json,1854,6,5,\babort[i1][o0]n\b,WE ARE A MIGRATORY PEOPLE.,"]


The locomotive propensities Of our nature arc
without parallel in the annals of history True,
the Bedouin has an extended desert for his home.
the different parts Of which he visits on the back Of
his horse his camel But there is no being on
the earth with so large development of what the
phrenologst calls httGdGteeaeSs His local ties are
as immenforial as his history. Who ever saw an
emigrant Arab! True, the northern barbarians of
former age left their trigid homes for the beauti-
ful skies and owory land of Italy or of sia Minor
and thus, dissolved first the Roman Empire in the
! West and subsequently the Grecian Empire in the
East. But as soon they had found Il more genial
! home, they became a permanent fixture in it. and
the present Italians Greeks and the inhabitants of
! "" cstcrn ASIA descendants OF those northern
barbaiians.


Not so with our people. The descendants of
those, who, two centuries ago, found home in
New England are now dispersed from Maine to
California. Over all that vast extent of country
which divides between the two great oceans of the
world, there Is scarce village, town or hamlet in
which the governing element is not of Yankee ori-
gin those who, sixty or seventy years ago, emil
grated to Vermont, have since sent syarns Of peo-
pie, first into Western New York then to Ohio In
diana Illinois, Wisconsin, and to the States and ter
rltories west Of the Mississippi. The emgrant of
thirty twenty, or even ten years agois looking
still farther west for a still more deghtfu home
and thus the unscttlng Of the local ties among us
is without an example in the annals Of history



uncs on the subject


table of The last census shows US where the
inhabitants OF the different States We're born Itis
curious to see how migratory n people we are
Vermont shows herself regular hive She has
| not only mainly stocked her towns. but has con-
stantiy been sending off swarms to other States---
OF the 3l4.l2 persons residing in the State when
the census WAS taken, 280,96G were American born.
and OF these 232 ,0S6.wcre born in the State But
besides these, there were in other States nearly
l4o,OV0 persons born in Vermont, she having re-
ceired from them not quite - coo of whom 81 Gj5
came from New Hampshire and Massachusetts, -
Aboat 21CJ1 born in Vermont have gone to those
! two States. Most OF the rest have gone to New
\ orS Ohio, Michigan and Wisconsin. Not many
have gone to-the southern part of the Union.


These migratory propensirieS Of the descendants
oi the original settlers Of this continent is the great
hope Of our country. II tends to difslso the New
LnGiand spirit and institutions all abroad. 1t is
count""Tacting the evil OF having the German people
and language in place those of France in anoth-
Grand so Of an INFUSED aggregation Of nations
within borders that is rapidly melting into one
great \ ncrlcan nation with onc language and one
order OF political ideas, all the possible varieties Of
the human race, which now in, or may hcrcaf-
ter seek hono in the new world Christian 1In,cs


TIE TRUE BEAUTY OF IoMr-1hc country is tbc
true home Of beauty and horticulture is tie free
school OF taste, in which all our readers may become
apt pupils II they choose and gratifcd and useful
professors. if they will ill., and help to create as much
beauty In ter spare hours the wealthy citizen can
purchase with the gains Of years to decorate his
brick and mortar place in the metropolis,


There is no mere ornament, in the house or out
OF it. 50 cheap and 50 tasteful healthy plants and
flowers and you will hear ten persons of sense ad-
mrlng your geraninms or fuhsias, where one will
notice your rich curtain and tail mirrors And out
doors, the eye that would never be attracted by
garng paint, cornice column, will be instantly
arrested by The living arabesquc OF native creepe
or the umbragedus ontline Of an American tree


Do yoa not admire that simple little cottage with
Its graceful trees from native woods The vines
making beautiful While they conceal the rough OUT
buildings; the little "" front yard or more fitting
lawn gemmcd, with shrubbcry and sparkling with
flowers; the neat walks with tnge of velvety turf
or natural ones over it, all in Keeping and all SUI
ted to the means Of the tasteful owner If You
have been able TO lift the veil which hides the Fife
within, have you not found real comfort and true
happiness there, and not the inmates really de-
serving Of what they enjoy


l And how much in time and money has all this
cost Perhaps less than tithe of that YOUR rich
ncighbor has expended to that great pile Of
boards and shingles or more ambitious mountain Of
brick and mortar. with cOuntenancc as black as q
undergrad OF brick kiln, and not thing except
weeds in the grounds or paints on the walls, either
grecner Or brighter than the man who can deem
his huge abortion the ne Plus ultra OF architectural
taste.


Ten to one he who built that dwelling if a farmer
is one Of those WHO would rather have a hill of
potatoes than rose BUSH and would sooner raise
a snarnGs cur than plant beautiful trec.-Pra,ris
fuymer.",ART
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1855/faro_1855/1855-12-03_p4_sn85042002_00415660996_1855120301_1311.json,1855,1,0,\bfemale[ -]?(pills?|safe(?:ty)?|remed(?:y|ies))\b;\bfemale[ -]?p[i1]lls\b,"ARE YOU SICKf
r. YOU are. don't take Ouack Medicines","H
i but use those prepared by regular physician.
\ Dr. ROSES celebrated Family Medicines are the
result of thirty years practice IN Philadelphia. His
prescriptions are for each complaint, and have been
and thousands Of patients remedy for each disease
THE WONDERFUL PAIN CURER.
This preparation is truly the wonder of the age
Cures all pain external or internal Cures Pains in
the Sides, Limbs, Back Chblains, Ague, or Jumps
in the Breasts Oorns Bruises, SPrains, Toothache,
and Stomach, Sudden Colds, &C.
The Pain Curer being fine tonic mixture, is also
used with great benefit for Weak Stomach and Bow
els. likewise for Fever and Ague.
and you win obtain immediate relief Bottles 1917,
25, and so cents


THE GREAT COUGH SYRUP.
Dr. Roses Cough Syrup, or Expectorant is the
best preparation in the world for Cough, arising
from cold, or a consumprive cough. Bottles 50
cents and 81.


TO CURE wHooPING COUGH,
Use DR.. Roses Whooping Cough Syrup. II is the
only reliable remedy for that distressing and often
fatal complaint Price so cents.


TO CURE GROUP.
DR.. Roses Group Syrup has saved the lives Of
thousands Of children. IS cents bottle.
TO CURE NERVOUSNESS
The most wonderful preparation 10 allay all ner-
vous affections Of the mind or body is DR.. Roses
Nervous Cordiah 80 cents a bottle.
TO CURE KIDNEY AND BLADDER COM


PLANTS.
Use DR.. Roses Butcher Compound II also cures
Dropsy. 80 cents bottle.


FOR FEMALE COMPLAINTS.
DIR. Roses Golden Pills the only remedy for
Falling Of the Womb, Weakness, and General Debil-
- DR.. ROSES FEMALE PILLS
Are the great regulating Female Pills rs cents
q box.


DR.. ROSES sARsAPARrLLA COMPOUND
Should be used by all females as il strengthens
and invigorates the constitution, purIfes the blood
and removes oil eruptions from the skin. Quart
bottles 81 small bottles SO cents


TO CURE DYSPEPSIA,
Use Or. Roses Dyspeptc and Liver Compound.
so cents bottle.


TO CURE BILIOUS HABITS,
Take DIR. Roses Ambitious or Railroad Pills.
They carry off oil bile. 121{ and 25 cents box
These Pills are called Railroad Pills. because they
90 ahead OF all other Pills in removing bile, bad
colds, and all foul secretions from the system.
Sold bv ID. 8. DYSON,


q. ST0TT a CO.,


w. IL. GILMAN,


J. w. MARIN,


PATTERSON a MARIN,


ID. b. CLARK,


III. II. MCPHERSON,


w. II. EVANS,


KIDwELL LAWRENCE,


]. B. MOORE
srr r-..t Washingtsn, d. O.
fsr J. l. KIDWELL,


Georgetown,
And BY all dealers in Alexandria, Virginia.
iuly l7-aoRm",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1856/faro_1856/1856-10-09_p2_sn83021205_00517171931_1856100901_0818.json,1856,70,69,\bm[i1]scarriage\b;\b(?:m|rn)[i1]scarr[iIl1]age\b,,"For sale by John O. Mn. .ae ,sn, . c ia, vTog.
MSS ana by dealers generally
az anachisss' RcsaiascI,. I,7lts.- A,rcrc,
a. "" IeHeules that We have tsia! FIR Ucadaci,r -
Neuralgia, rome aye tcen So Ell tpal s i Suu
Sii3n are sod BY al the ninsgists amino one % ~
- az = u sHGn snca rem dy can he obtained
No seed Of he5nu II a-Sfs.E,,-Tisra 5s ,, .-,,
rine eXtart effetual ia d.. rnre - - Is 10 inet
nausea &C. as ugeI's Healing Embrta,,tion H. 30
oaly RECEIVING prpofs Of its ben, d;ic effects in b
casrs- IT'S inbred the Travellers iriendo and as NO
person contemplating voyage t or a reside, q, in ~
uh sthJ climate should ne without H. in tbc C.I,t W
anu Mexico markets, it is erg with a rat,id sab, ID
Is oud 70 be OF great benefit TO residing in hos
For sale ~ David Scott, George r. SPUR. and Dur
gss generally 80 ~ ""s-


GHNTLEHjEN'S


YOUTHS, AND LITTLE CHLEDREN's


G L Il N G


o. every desirable grade, for


FAIL and winner Trade


WHOLESALE AND RETAIL


GEORGE W. SIMMONS, PIPER, 4 CO..
20 8 ?. No.,, az oAA HALL,
% o. No'h street,. Boston


u-t""N WON


Having Witnessed tile beneficial eaee,s of PERRY
D%Nls's PAIN KILLER in several cases of dysepterv
ana cholera orhus, would most cheerfuly recommend
It's use TO such may be suffering from the aforemen
uoned or similar diseases as safe and clrctua rmedy


EDWARD b FULLER


fastor OF First Baptist ChUr h, Somerset Mass
sZ0 d2aw&v2t


MI
consisting Of nearly new Hous-, Barn, and acres
1 lana, with great variety Of fruit Il IL .t.vat,d IN
fAntaton rtreet, near the Bloonngdale roai Il mleg
ter Up. Francis G. NIsNER


VIZ deoaswd -~-''-''
MTss 80 Coed ~ sr. an experienced and sarc ess
mIu""iiT hoids herself in READINGS, Jay night to
sttendthe duties nj her o7afea r@stienee s Anstin


NetzE att


l.. A. MAYNARD,
ATTORNEY, AND COUNSELLOR AT LAW.
an3o Office No. Central Exchange. at
Consumption eam be Cs,red Sir James
ozark, Physician to Queen Victoria and one of The most
learned and skifu of the age in his ""Treaiisr on
Consumption, says"" 1ha, Pulmonary Consumption adj
mits Of Cure is no longer matter Of doubt it has been
clearly demonstrated by the Of Laennec and
other modern pathoOgiss""


The mer fac that such ease is ever curabe attest
ed by such unimpeachable authority should inspre
hope and reanuae ailne courage in the heart of every
sufferer from this disease
The remedy which We offer has cured thousands


WtsFARS BALSAM OF WILD CHERRY,
not only emanates from regular physician hut has been
wen tested in all the complaints for which it is recon
mended.


Always signed I. BUTTS on the wrapper.


Prepared and sold, wholesale and retail only by SETH
W F0WLE, Boston, Mass. to whom all orders should be
addressed, and for sale ny his agents


AGENTS James Green, D. Scott NJ. b Green Charles
Clarke Worcester; c. Il Colbura, Leominster


OF deodlw6wlt


DR.. Eane.-The Government edition is now being
delivered to subscribers NJ work has b. issued from
the press that has given general satisfaction to sub
scribers than this work. Il is written in an int resting
style, and eniss the attention Of the reader.


This man Of all work, Bnd desperate daring and sue.
cessful doing has the distinction Of being the first
civilized man to stand in latitude 80 &C. aud gaze upon
the opeu polar seao reach the orthernmost point Of
lard on the globeto report the lowest temperature ever
endured-the heaviest sege duty ever periormed-and
me widest lie and after all to return to tell the story Of
his adventures 1t not only excs wonder but Dor
rows move grandeur roei the truly benevolent consd-
eraons which animated him to the task.


Copies OF the government edition be obtained OF
Messrs. KIMBALL Il CO. at VIM. D. FESNo y soN's
nearly opposite The Worcester Post Office diff oil
Coparsnersaip Nol5oc.-The subscribers have
TINS day formed copartnershiP for the purpose of
acting general Wholesale and Retail Dry Goods business
to be known by the name of Jenkins, Hamilton, Il Co.
B. Il. HARDOE, q. W. HAMILTON,
J. Il. JENKINS, G. A. WHITE
Worcester, July 2S, 1856.


GARD TO TIE PUBLIC.
We desire to call the attention of the public to the
above notice. by which will he that we have pur
chased the entire stock in trade of B. L. Harden Co.
The stock consists Of every description of


DRY GOODS. CARPETS.
FEATHERS, HAIR MATTRESSES, FLOOR
CLOTHS, AND HOUSE FURNIsHINd GOODS;
To which viii he added the rew aud choice STYLES of
DRESS GOODS, as soon as they appear in the market
Ar Aardon who has long known as the purchaser
OF goods for the old firm viii have ebarga ~ tho ssr
department in the new; residing in New York and de-
young MS whole time to the purchase of all kinds Of
Stable and FANCY DRY GOODS, he will possess unu-



Goods, upon the mast tdvoyable terms ""
FOR these reasons shall be able to offer our custo
eh a al times goods at handsome per cent less than our
competitors can; and we do hesitate ia rIadpe our
serves not to be undersold by any one We believe
eeoie tt 1t VIII only he necessary for us to SHOW our
Es ana prices secure liberal patronage; and sbopld
any person ever receive any other than the most polite
ana gentnany treatment FROM any one in cur ennulnv
they VIII confer favor by reporting it at once to some
member of tbe fra. ~ SUNNI


JENKINS, HAMILTON.& Co.


Successors to B. l.. HARDoN & Co LAG Main St
D. nAhDON, @. w. HAMILTON
II JENhlNS, G. A. WHITE
Worcester July %, 1856. al dtf
CLARK EG'S FEM ALE pFFrS


TIE GREAT ENGLISH REMEDY
Prepared from Prescription OF Sir J. Clarke NJ D.
MUSICIAN Extraordinary to the Queen


This invaluable medicine is uufaling in the cre If all
those painful and dangerous disorders to which the f.
male hutton is subject 1t moderates all excess and
- ~ A0isu


TO MARRIED LADIES
1t is peculiarly suited 1t will in a short fine hin, ON
the monthly period with regularity. ga
Each bottle, price One Dollar bears The Govarrr,art
stamp OF Great Britain, to prevent counterfeits


CAUTION


These Pills should not be taken bg females net a ""a
pregnant during the first three aaoA ihs as ev ar s,r
10 Ihg on miscarriage but at every ether time and in
every other case, they are perfectly safe.


sole Agents for the United States and Canada


l. Q BALDWIN d CO., Rochester N Y
IUIILE MOSES, Auburn, N. Y, GENERAL AGEETs
~ b. 81 and six postage stamps enclosed TO anv an
thorzed Agent, well insure bottle of the Pills Nv rSt
mail ~ ~ ie'Hih
For sale by one druggist in every t,y, II, 49,, rr.,,",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1857/faro_1857/1857-07-23_p2_sn85040308_00514151362_1857072301_0530.json,1857,24,23,\bm[i1]scarriage\b;\b(?:m|rn)[i1]scarr[iIl1]age\b,"THE GREAT ENGLISH RENE DYl


sEs JAMES CLARKE's
CELEBRATED FEMALE Pill LIS","y q l. u Is II Il L = ~ 4 u IL q Il u IL LID
Prepared prescription OF Sir James Clarke, n
Physician Extraordinary the Queen. This Invaluable
Medicine unaiIing in the Of all those painful and
dangerous diseases incident TO the Female constitution
If moderates all excess all distractions, and
rings the monthly period with regularity These Pulls
hould be used three preyo-s confinement
aey forty the constitutions and lessen the suffering ursg
a5or enabling the mother perform her with
y TO herself and child.


These [s should not be taken Jg females curing ne
FIRST THREE K0YT1S OF Pregnancy. as they are
to bring Miscarriage 1Et atGRy otter time hey
IRE sgfs.


Ia all a nervous and spinal affections, pain In the
Back and Limbs. hesviness fatigue slight exsren pal
taton or the heart, iowness Of spirits. Mysteries, sick
headache whites and all the painful diseases oceasoned by
diserdered SYSTEM these Pills viz effect cure when al
Jther means have failed and although powerful remedy.
10 contain iTon esiome. annony, any other nine
raj.


Fun directions accompany each package.
Sole Agent for the United States and Canada,


JOB NOSES


tLats l. c. Baldwin { Col


Rochester, n n
y. B.--siee and sessags stamps enclosed to any au
horlzed AgeDi, VIII bottle Of the Pins by return
mail.


Fer sale by Staskwensher d CO., r.. Rohsa@sa
A. =. steele. and =. Clark = son, Ksnosis.
md ~ preggat generally, throughout tbs uss States
kc1-@S",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1857/faro_1857/1857-11-21_p3_sn82015672_0029602191A_1857112101_0331.json,1857,45,44,\bm[i1]scarriage\b;\b(?:m|rn)[i1]scarr[iIl1]age\b,"TIE GREAT ENGLISH REMEDY,


SIR JAMES CLARKE'S
CELEBRATED FEMALE PILLS.","
Prepared from prescription Of Sir James Clarke. NJ
d., Physician Extraordinary to the Queen. This in
valuable Medicine is unfang In the Of all those
painful and dangerous diseases Incident to the Female
constitution.


II modeates all excess, all obstruction. and
brings on the monthly periods with regularity. These
Pills should lie used two three weeks previous
Confinement; they forfy the constitution and lessen
the suffering during alr, enabling the mother to per.
form her duties with safety to hersef ami child.
These Pills should mt lee taken by females durng
the FIRST THREE MONTHS Of Pregnancy, rs they
are to bring Miscarriage, but any other time
they safe.


In all eases Of Nervous and Spinal Affections, Pain
in the Back and Limls, ueaviness, Fatigue on Slight
Exetion Palpitaon OF the Heart, Lowness Of Spirits
Mysteries, Sick Headache, Whites and all the PAINFUL
diseases occasioned by disorlee system, these pills
will effect cure when all other means have failed and
although powerful remedy do not contain iron
calomel, anthony, any other mineral.


Full directions accompany Ing each package. Price
in the United States and Canada. One LoIiar.
n. B.-slpJ and postage stamps enclosed to any
authorized Agent, will insure hottie of the Pills by
return mail. W. w. ROBERTS, indianapolis,


Sole Agent for Indiana.


HALLOCK STODDARD,
ap21 5i-Iyis General Agents. Evansville.",ADS_REPRO
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1858/faro_1858/1858-03-04_p1_sn84024738_00202191022_1858030401_0215.json,1858,61,60,\babort[i1][o0]n\b,,"The New York papers, In the absence of murder,
s.ductiou aud abortion cases, are making sensa,
tIon articles upon the religious resivals now in pro-
ersss In that city,",ART
/scratch.hpc/nicola.barban2/data/AS_dataset_raw/year_1858/faro_1858/1858-06-03_p3_sn85026945_00202194278_1858060301_0803.json,1858,50,49,\bfemale[ -]?obstruct[i1]on\b,"THE LIVER
Z M VI OR ATo9.
PREPARED BY DIR. SANFORD,
dad","L N "" Z @ q H a O n i:
PREPARED BY DIR. SANFORD,
Compounded entirely from GUMS,
| S one of the best Purgn,ive and Liver Medi.
cines now before the public, acts as Cathar.
tc' easier, milder, and more elFcctual than any
o;her medicine known. 1t is not only n Cathar.
tic, but Liver remedy, ucting first on the Liver
| To eject lis morbid matter, then OH the stomach
and bowels TO carry off that matter, thus accom-.
p!lshing two purposes cifectually, without any of
tne painful feelings experienced in the operation
OF most Cathnrlics. 1t strengthens the system at
the same time that it purges it and when taken
daily in moderate doses, will strengthen and


build It up with usual rapidly.
The Liver is one of the principal reru,ators
OF the human body; and when it performs its


functions We'll, the powers Of the system arc
lnlly developed. The stomach is almost on


ureIy dependent on the healthy action of the


'IVer Tor the proper performance of its functions
y when the stomach is at fault, the bowels are


at 'iu'' ana the whole System suffers in consc-
q quencr ofonc organ-the I.vcr-havinr ceased
/"" do its duty. For the diseases of that orpan
r one oi the proprietors has made it his study in
= practice OF more than twenty years, to find


somo remedy whercwith to counteract the
y many dcrangementst to which il is liable


=, 10 prove that this remedy is at last found.
4, any person troubled with Liver Complaint. in
nany ofts forms, has to try bottle, and con.
a viction is certain.


v These Gums remove all morbid or bad mat
1, ter from the system. supplying in their place
y n healthy flow of bile, invigorating the s,om


ach, causing food to digest we'll, purifying the
n blood. giving tone and health to the whole ma
, chinery, removing the cause of the disease. ef.
D fecting a radical cure.


bilious attacks are cured, and, what ia bet.
n ter, prevented by the occasional use of the Liver
f lnvigorator.


=, Ons'dose after eating is sufficient to relieve
n the Stomach and prevent tho food from arising


and souring.


=, Only one dose taken befor., retiring. prevents
Id Nightmare.


Only one dose taken at night loosens The
n bowels gently, and cures Costiveness.
n One dose taken alter each meal will cure
4 Dyspepsia


= cB- One dose of two tea-spoonfuls will al
, was relieve Sick Headache.
n One bottle taken for female obstruction re-
, move the cause of the disease, and make per.
n feet cure.


Only one dose Immediately relieves Cl,olic


Willis one dose often repeated is sure cure for
% Cholera Morbne, and preventive of Cholera


cB- Only one bottle is needle to throw ont
of the system the effects of medicine after long
A sickness.


n gB- One bottle taken for Jaundice removes
all snllowness or unnatural color from the skin


One dose taken short time before eating
gives vigor to the appetite, aud makes food
a digest well.


v One dose often repeated cures Chronic Diar
rlra in lis worst forms, while Summer and
n Bowel complaints yield almost to the first dose
One or two doses cures attacks caused by
2 Worms in Children: there is no surer. safer.
- or speedier remedy in the world, as it never
4 fails.


q rY- A few bottles cures Dropsy, BY exci,ipr
:. the absorbents.
U We take pleasure in recommending this


medicine as preventive for Fever and


Ague, Chill Fever, and all Fevers of Bilious


Type. II operates with certainty, and thou


sands are willing to testify to it's wonderful vir-


tues


All who use it are giving their unanimous testi.
mony in-its favor.


U Mix water in the mouth with the Inyipor.
ator and swallow both together.


TIE LIVER INv1aoRAToR.
Is scientiis Medical Discovery. and is ds;lv
working cures almost too great 10 believe H.
cures as If by magic, even the first dose giving
benefit and seldom more than one bottle is reauif:
cd tocure any kind of Liver Complaint, from the
worst Jaundice'or Dyspepsiato common Head-
ache, ali Of which are the result of Diseased
Liver. s.sss al g.


Price, OnelD Dollar, per bottle.
sANFORDr& CO., Proprietors..5s
~ 9 S4S Broadway New York
WHoLrsxLE AoENys. <fsfss


BWnes & Park, New York; r. w. Dyott Il
SONG philadelphia; d. IS. Burr q Co., Boston /;
HaH Hay n Go, Pdrtland; John D. Park, Gin.
cinnati ss4lord q Hammond. Cleveland -
Fahnse q Da&s, Ghicago; o. y. Wood q.
Co, Sts Louie; George d. Ksyser, Pittsburr.
9. 9 Hancs Bsltimofs. Aud retailsd by iii
Drugsists xss. -. =. .s:' s


JORDAN d MoLAUcALIN,l kbbeyiIIs ""a
RRlNdG
+ gnL ~ sINg4Is1 Cel1mbia.. sc 81 ~ 8. IS.
!. Feb &. .sIsss :. ID:
Pilot oken, Or q Fenlal Friend. ].
d NEW SIMPLY jast received md fore ssis
. 81 .yQIsI,A u asIsxuofihrr. IL 81
March lssss Z sss aS.sf ~ 3",ADS_REPRO
